id,description,family,length,file
PV997440.1,"PV997440.1 Yellow fever virus isolate HA015, complete genome",Flaviviridae,10952,data/raw/flaviviridae.fasta
PX694298.1,"PX694298.1 UNVERIFIED: GB virus isolate 17165368, complete genome",Flaviviridae,9387,data/raw/flaviviridae.fasta
PX694297.1,"PX694297.1 UNVERIFIED: GB virus isolate 17162284, complete genome",Flaviviridae,9371,data/raw/flaviviridae.fasta
PX552531.1,"PX552531.1 Bovine viral diarrhea virus 1 strain CHQHBVDV101-2025, complete genome",Flaviviridae,12339,data/raw/flaviviridae.fasta
PX693668.1,"PX693668.1 UNVERIFIED: GB virus isolate 17088158, complete genome",Flaviviridae,9378,data/raw/flaviviridae.fasta
PX693667.1,"PX693667.1 UNVERIFIED: GB virus isolate 17025276, complete genome",Flaviviridae,9381,data/raw/flaviviridae.fasta
PX693666.1,"PX693666.1 UNVERIFIED: GB virus isolate 16155305, complete genome",Flaviviridae,9386,data/raw/flaviviridae.fasta
PX648516.1,"PX648516.1 Yellow fever virus clone TYF6061, complete genome",Flaviviridae,10851,data/raw/flaviviridae.fasta
PQ220320.1,"PQ220320.1 MAG: West Nile virus isolate VN6307CPR1R, complete genome",Flaviviridae,10704,data/raw/flaviviridae.fasta
PQ220319.1,"PQ220319.1 MAG: West Nile virus isolate VN6477CPR1R, complete genome",Flaviviridae,10787,data/raw/flaviviridae.fasta
PX480447.1,"PX480447.1 Dengue virus type 4 isolate D20-0259, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480446.1,"PX480446.1 Dengue virus type 4 isolate D20-0040, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480445.1,"PX480445.1 Dengue virus type 4 isolate D19-2229, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480444.1,"PX480444.1 Dengue virus type 4 isolate D19-1649, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480443.1,"PX480443.1 Dengue virus type 4 isolate D19-1286, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480442.1,"PX480442.1 Dengue virus type 4 isolate D18-2040, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480441.1,"PX480441.1 Dengue virus type 4 isolate D18-0170, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480440.1,"PX480440.1 Dengue virus type 4 isolate D17-1913, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480439.1,"PX480439.1 Dengue virus type 4 isolate D17-1206, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480438.1,"PX480438.1 Dengue virus type 4 isolate D17-0712, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480437.1,"PX480437.1 Dengue virus type 4 isolate D17-0537, complete genome",Flaviviridae,10649,data/raw/flaviviridae.fasta
PX480436.1,"PX480436.1 Dengue virus type 3 isolate D21-0005, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480435.1,"PX480435.1 Dengue virus type 3 isolate D20-0183, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480434.1,"PX480434.1 Dengue virus type 3 isolate D20-0128, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480433.1,"PX480433.1 Dengue virus type 3 isolate D20-0127, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480432.1,"PX480432.1 Dengue virus type 3 isolate D19-2479, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480431.1,"PX480431.1 Dengue virus type 3 isolate D19-2240, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480430.1,"PX480430.1 Dengue virus type 3 isolate D19-2221, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480429.1,"PX480429.1 Dengue virus type 3 isolate D19-2204, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480428.1,"PX480428.1 Dengue virus type 3 isolate D19-2179, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
PX480427.1,"PX480427.1 Dengue virus type 3 isolate D19-2149, complete genome",Flaviviridae,10707,data/raw/flaviviridae.fasta
