id,label,length,gc_content,description,file
PX943563.1,Coronaviridae,29694,0.3787297097056644,"PX943563.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231151979/2025, complete genome",data/processed/coronaviridae_clean.fasta
PX465985.1,Retroviridae,9040,0.4244469026548672,"PX465985.1 HIV-1 isolate 9254-wk26-5-J16_S133_L001_001 from Germany, complete genome",data/processed/retroviridae_clean.fasta
PX480433.1,Flaviviridae,10707,0.4688521527972354,"PX480433.1 Dengue virus type 3 isolate D20-0127, complete genome",data/processed/flaviviridae_clean.fasta
PX931110.1,Coronaviridae,29694,0.3787633865427359,"PX931110.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251114863946/2025, complete genome",data/processed/coronaviridae_clean.fasta
PX466028.1,Retroviridae,9049,0.4246878108078241,"PX466028.1 HIV-1 isolate 9254-wk102-pl5-I9_S295_L001_001 from Germany, complete genome",data/processed/retroviridae_clean.fasta
PX480332.1,Flaviviridae,10707,0.467731390678995,"PX480332.1 Dengue virus type 3 isolate D17-0125, complete genome",data/processed/flaviviridae_clean.fasta
PX480392.1,Flaviviridae,10707,0.4685719622676753,"PX480392.1 Dengue virus type 3 isolate D19-0113, complete genome",data/processed/flaviviridae_clean.fasta
AB818498.1,Orthomyxoviridae,1529,0.4695879659908437,"AB818498.1 Influenza A virus (A/chicken/Soc Trang/3/2012(H5N1)) viral cRNA, segment 5, complete genome",data/processed/orthomyxoviridae_clean.fasta
KY786017.1,Filoviridae,18871,0.4125377563457156,"KY786017.1 Ebola virus strain Ebola virus/M.fascicularis-wt/GAB/2001/untreated-CCE006D7, complete genome",data/processed/filoviridae_clean.fasta
OQ784121.1,Filoviridae,20233,0.4222804329560619,"OQ784121.1 Mutant Zaire ebolavirus rMA-EBOV-ZsGnLuc, complete genome",data/processed/filoviridae_clean.fasta
PX480373.1,Flaviviridae,10707,0.4670776127766881,"PX480373.1 Dengue virus type 3 isolate D18-1999, complete genome",data/processed/flaviviridae_clean.fasta
PX480427.1,Flaviviridae,10707,0.4689455496404222,"PX480427.1 Dengue virus type 3 isolate D19-2149, complete genome",data/processed/flaviviridae_clean.fasta
PX943846.1,Coronaviridae,29694,0.37862867919445,"PX943846.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109609163/2025, complete genome",data/processed/coronaviridae_clean.fasta
MH121168.1,Filoviridae,18958,0.4105390864015191,"MH121168.1 Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/Zaire/1976/Mayinga-R3816, complete genome",data/processed/filoviridae_clean.fasta
PX465982.1,Retroviridae,9047,0.4244500939537968,"PX465982.1 HIV-1 isolate 9254-wk26-3-D15_S61_L001_001 from Germany, complete genome",data/processed/retroviridae_clean.fasta
PX465978.1,Retroviridae,9047,0.4245606278324306,"PX465978.1 HIV-1 isolate 9254-wk26-2-H15_S40_L001_001 from Germany, complete genome",data/processed/retroviridae_clean.fasta
HE584753.1,Orthomyxoviridae,2280,0.4451754385964912,"HE584753.1 Influenza A virus (A/swine/La Habana/130/2010(H1N1)) segment 1, complete genome",data/processed/orthomyxoviridae_clean.fasta
PX480412.1,Flaviviridae,10707,0.4678247875221817,"PX480412.1 Dengue virus type 3 isolate D19-1951, complete genome",data/processed/flaviviridae_clean.fasta
MN187406.1,Filoviridae,19094,0.382738032889913,"MN187406.1 Orthomarburgvirus marburgense strain 960LNKasbat SL 2018, complete genome",data/processed/filoviridae_clean.fasta
PX931257.1,Coronaviridae,29694,0.37862867919445,"PX931257.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801088914/2025, complete genome",data/processed/coronaviridae_clean.fasta
OQ630505.1,Filoviridae,19019,0.4593301435406698,"OQ630505.1 Cuevavirus lloviuense isolate Hungary/2019/378, complete genome",data/processed/filoviridae_clean.fasta
HE589463.1,Orthomyxoviridae,2280,0.4451754385964912,"HE589463.1 Influenza A virus (A/swine/Pinar del Rio/3/2010(H1N1)) segment 1, complete genome",data/processed/orthomyxoviridae_clean.fasta
PX480442.1,Flaviviridae,10649,0.4685885998685322,"PX480442.1 Dengue virus type 4 isolate D18-2040, complete genome",data/processed/flaviviridae_clean.fasta
PX943842.1,Coronaviridae,29694,0.3785613255203071,"PX943842.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109374433/2025, complete genome",data/processed/coronaviridae_clean.fasta
AB818504.1,Orthomyxoviridae,2200,0.4290909090909091,"AB818504.1 Influenza A virus (A/chicken/Soc Trang/5/2012(H5N1)) viral cRNA, segment 3, complete genome",data/processed/orthomyxoviridae_clean.fasta
PX943565.1,Coronaviridae,29702,0.3784930307723386,"PX943565.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231187686/2025, complete genome",data/processed/coronaviridae_clean.fasta
PX480260.1,Flaviviridae,10735,0.4679087098276665,"PX480260.1 Dengue virus type 1 isolate D18-1980, complete genome",data/processed/flaviviridae_clean.fasta
PX465962.1,Retroviridae,9045,0.4245439469320066,"PX465962.1 HIV-1 isolate 9254-wk42-pl1-I17_S316_L001_001 from Germany, complete genome",data/processed/retroviridae_clean.fasta
PX466072.1,Retroviridae,9086,0.4251595861765353,"PX466072.1 HIV-1 isolate 9254-wk102-pl2-L2_S246_L001_001 from Germany, complete genome",data/processed/retroviridae_clean.fasta
PX943581.1,Coronaviridae,29694,0.3786623560315215,"PX943581.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231712348/2025, complete genome",data/processed/coronaviridae_clean.fasta
