id,description,family,length,file
PV700541.1,"PV700541.1 Orthomarburgvirus marburgense isolate MARV_H.Sapiens_TZ_Kagera_S8_2023, complete genome",Filoviridae,19048,data/raw/filoviridae.fasta
PV700540.1,"PV700540.1 Orthomarburgvirus marburgense isolate MARV_H.Sapiens_TZ_Kagera_S7_2023, complete genome",Filoviridae,19054,data/raw/filoviridae.fasta
PV700539.1,"PV700539.1 Orthomarburgvirus marburgense isolate MARV_H.Sapiens_TZ_Kagera_S6_2023, complete genome",Filoviridae,18943,data/raw/filoviridae.fasta
PV700538.1,"PV700538.1 Orthomarburgvirus marburgense isolate MARV_H.Sapiens_TZ_Kagera_002_2025, complete genome",Filoviridae,19030,data/raw/filoviridae.fasta
PV700537.1,"PV700537.1 Orthomarburgvirus marburgense isolate MARV_H.Sapiens_TZ_Kagera_001_2025, complete genome",Filoviridae,19070,data/raw/filoviridae.fasta
OZ276552.1,"OZ276552.1 Zaire ebolavirus isolate Ebola virus/VECTOR/C.porcellus-lab/COD/1976/Mayinga_NML genome assembly, complete genome: monopartite",Filoviridae,18582,data/raw/filoviridae.fasta
PX278686.1,"PX278686.1 Orthomarburgvirus marburgense strain Marburg virus/H. sapiens-tc/KEN/Mt. Elgon-Musoke F3, complete genome",Filoviridae,19112,data/raw/filoviridae.fasta
PX278685.1,"PX278685.1 Orthomarburgvirus marburgense strain Marburg virus/H.sapien-tc/ANG/2004/Angola325, complete genome",Filoviridae,19113,data/raw/filoviridae.fasta
NC_001608.4,"NC_001608.4 Marburg virus - Musoke, Kenya, 1980, complete genome",Filoviridae,19112,data/raw/filoviridae.fasta
MW110478.1,"MW110478.1 Bat filovirus isolate Wanding virus/CHN/2016/ Bt-WD133, complete genome",Filoviridae,17627,data/raw/filoviridae.fasta
OP924273.1,"OP924273.1 Dehong virus isolate CHN/2016/Rl133-16, complete genome",Filoviridae,20943,data/raw/filoviridae.fasta
KX371887.3,"KX371887.3 Dianlovirus menglaense isolate Rousettus-wt/CHN/2015/Sharen-Bat9447-1, complete genome",Filoviridae,18555,data/raw/filoviridae.fasta
DQ217792.2,"DQ217792.2 Marburg virus - Musoke, Kenya, 1980, complete genome",Filoviridae,19112,data/raw/filoviridae.fasta
OQ672471.1,"OQ672471.1 Orthomarburgvirus marburgense isolate MV-22-114C/Ghana/2022, complete genome",Filoviridae,19049,data/raw/filoviridae.fasta
OQ847644.1,"OQ847644.1 Mutant Orthomarburgvirus marburgense, complete genome",Filoviridae,19115,data/raw/filoviridae.fasta
OQ630505.1,"OQ630505.1 Cuevavirus lloviuense isolate Hungary/2019/378, complete genome",Filoviridae,19019,data/raw/filoviridae.fasta
OQ784121.1,"OQ784121.1 Mutant Zaire ebolavirus rMA-EBOV-ZsGnLuc, complete genome",Filoviridae,20233,data/raw/filoviridae.fasta
OQ784120.1,"OQ784120.1 Mutant Zaire ebolavirus rMA-EBOV-nLuc-ZsG, complete genome",Filoviridae,20302,data/raw/filoviridae.fasta
OQ784119.1,"OQ784119.1 Mutant Zaire ebolavirus rMA-EBOV-nLuc, complete genome",Filoviridae,19540,data/raw/filoviridae.fasta
OQ784118.1,"OQ784118.1 Mutant Zaire ebolavirus rMA-EBOV-ZsG, complete genome",Filoviridae,19720,data/raw/filoviridae.fasta
OQ784117.1,"OQ784117.1 Mutant Zaire ebolavirus rMA-EBOV, complete genome",Filoviridae,18958,data/raw/filoviridae.fasta
OQ892316.1,"OQ892316.1 Zaire ebolavirus isolate COY1925, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892315.1,"OQ892315.1 Zaire ebolavirus isolate CON1184, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892314.1,"OQ892314.1 Zaire ebolavirus isolate CON1183, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892313.1,"OQ892313.1 Zaire ebolavirus isolate FOR2439, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892312.1,"OQ892312.1 Zaire ebolavirus isolate DUB2223, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892311.1,"OQ892311.1 Zaire ebolavirus isolate CON2451, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892310.1,"OQ892310.1 Zaire ebolavirus isolate CON2452, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892309.1,"OQ892309.1 Zaire ebolavirus isolate PIT965, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892308.1,"OQ892308.1 Zaire ebolavirus isolate CON2231, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892307.1,"OQ892307.1 Zaire ebolavirus isolate CON1479, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892306.1,"OQ892306.1 Zaire ebolavirus isolate CON1508, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892305.1,"OQ892305.1 Zaire ebolavirus isolate DUB2224, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892304.1,"OQ892304.1 Zaire ebolavirus isolate CON2489, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892303.1,"OQ892303.1 Zaire ebolavirus isolate CON1437, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892302.1,"OQ892302.1 Zaire ebolavirus isolate FOR2456, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892301.1,"OQ892301.1 Zaire ebolavirus isolate COY2146, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892300.1,"OQ892300.1 Zaire ebolavirus isolate CON2135, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892299.1,"OQ892299.1 Zaire ebolavirus isolate CON2454, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892298.1,"OQ892298.1 Zaire ebolavirus isolate COY2448, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892297.1,"OQ892297.1 Zaire ebolavirus isolate TEL2455, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892296.1,"OQ892296.1 Zaire ebolavirus isolate CON2136, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892295.1,"OQ892295.1 Zaire ebolavirus isolate COY2229, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ892294.1,"OQ892294.1 Zaire ebolavirus isolate FOR2221, complete genome",Filoviridae,18765,data/raw/filoviridae.fasta
OQ348598.1,"OQ348598.1 Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/COD/2019/Ituri-MAN5036, complete genome",Filoviridae,18937,data/raw/filoviridae.fasta
OQ348597.1,"OQ348597.1 Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/COD/2020/Ituri-20FHV036, complete genome",Filoviridae,18814,data/raw/filoviridae.fasta
