id,description,family,length,file
PX529387.1,"PX529387.1 Avian leukosis virus isolate MYA-Kerbala-1, complete genome",Retroviridae,7791,data/raw/retroviridae.fasta
PX529386.1,"PX529386.1 Avian endogenous retrovirus EAV-HP isolate MYA-Kerbala-1, complete genome",Retroviridae,4441,data/raw/retroviridae.fasta
PX549784.1,"PX549784.1 Avian leukosis virus isolate GD24NH05, complete genome",Retroviridae,7482,data/raw/retroviridae.fasta
PX549783.1,"PX549783.1 Avian leukosis virus isolate GD24NH3635, complete genome",Retroviridae,7492,data/raw/retroviridae.fasta
PX549782.1,"PX549782.1 Avian leukosis virus isolate GD24LHB130, complete genome",Retroviridae,7705,data/raw/retroviridae.fasta
PV805466.1,"PV805466.1 Human T-cell leukemia virus type I isolate PH1505, complete genome",Retroviridae,9039,data/raw/retroviridae.fasta
PV805465.1,"PV805465.1 Human T-cell leukemia virus type I isolate PH1503, complete genome",Retroviridae,9039,data/raw/retroviridae.fasta
PV805464.1,"PV805464.1 Human T-cell leukemia virus type I isolate PH1210, complete genome",Retroviridae,8779,data/raw/retroviridae.fasta
PV805463.1,"PV805463.1 Human T-cell leukemia virus type I isolate PH1040, complete genome",Retroviridae,9037,data/raw/retroviridae.fasta
PV805462.1,"PV805462.1 Human T-cell leukemia virus type I isolate PH1002, complete genome",Retroviridae,9037,data/raw/retroviridae.fasta
PV805461.1,"PV805461.1 Human T-cell leukemia virus type I isolate PH561, complete genome",Retroviridae,9037,data/raw/retroviridae.fasta
PV805460.1,"PV805460.1 Human T-cell leukemia virus type I isolate PH489, complete genome",Retroviridae,9035,data/raw/retroviridae.fasta
PX735133.1,"PX735133.1 HIV-1 strain HIV1/BF/BuenosAires/Arg/001/2016 from Argentina, complete genome",Retroviridae,8888,data/raw/retroviridae.fasta
PX717093.1,"PX717093.1 HIV-1 isolate BC033_V2_proviral_10_Intact from Canada, complete genome",Retroviridae,8967,data/raw/retroviridae.fasta
PX717092.1,"PX717092.1 HIV-1 isolate BC033_V2_proviral_9_Intact from Canada, complete genome",Retroviridae,8991,data/raw/retroviridae.fasta
