id,description,family,length,file
PQ505906.1,"PQ505906.1 Human coronavirus OC43 isolate Hangzhou/CO1296/21, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505905.1,"PQ505905.1 Human coronavirus OC43 isolate Hangzhou/CO1307/21, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505904.1,"PQ505904.1 Human coronavirus OC43 isolate Hangzhou/CO8382/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505903.1,"PQ505903.1 Human coronavirus OC43 isolate Hangzhou/N1025/21, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505902.1,"PQ505902.1 Human coronavirus OC43 isolate Hangzhou/N1376/21, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505901.1,"PQ505901.1 Human coronavirus OC43 isolate Hangzhou/N856/21, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505900.1,"PQ505900.1 Human coronavirus OC43 isolate Hangzhou/N124/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505899.1,"PQ505899.1 Human coronavirus OC43 isolate Hangzhou/N593/21, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505898.1,"PQ505898.1 Human coronavirus OC43 isolate Hangzhou/CO8230/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505897.1,"PQ505897.1 Human coronavirus OC43 isolate Hangzhou/CO9839/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505896.1,"PQ505896.1 Human coronavirus OC43 isolate Hangzhou/N834/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505895.1,"PQ505895.1 Human coronavirus OC43 isolate Hangzhou/N1159/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505894.1,"PQ505894.1 Human coronavirus OC43 isolate Hangzhou/N931/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PQ505893.1,"PQ505893.1 Human coronavirus OC43 isolate Hangzhou/CO8240/22, complete genome",Coronaviridae,30228,data/raw/coronaviridae.fasta
PX733332.1,"PX733332.1 Porcine epidemic diarrhea virus strain JS-2023, complete genome",Coronaviridae,28035,data/raw/coronaviridae.fasta
PX733331.1,"PX733331.1 Porcine epidemic diarrhea virus strain HB-2023, complete genome",Coronaviridae,28029,data/raw/coronaviridae.fasta
PX943850.1,"PX943850.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109883775/2026, complete genome",Coronaviridae,29693,data/raw/coronaviridae.fasta
PX943849.1,"PX943849.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109864497/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943847.1,"PX943847.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109611465/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943846.1,"PX943846.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109609163/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943845.1,"PX943845.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109529248/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943844.1,"PX943844.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109466909/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943842.1,"PX943842.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109374433/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943840.1,"PX943840.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-260109053547/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943590.1,"PX943590.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231978045/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943587.1,"PX943587.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231890214/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943583.1,"PX943583.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231821795/2025, complete genome",Coronaviridae,29759,data/raw/coronaviridae.fasta
PX943582.1,"PX943582.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231751040/2025, complete genome",Coronaviridae,29707,data/raw/coronaviridae.fasta
PX943581.1,"PX943581.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231712348/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943578.1,"PX943578.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231526125/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943577.1,"PX943577.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231522795/2025, complete genome",Coronaviridae,29760,data/raw/coronaviridae.fasta
PX943570.1,"PX943570.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231331793/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX943565.1,"PX943565.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231187686/2025, complete genome",Coronaviridae,29702,data/raw/coronaviridae.fasta
PX943563.1,"PX943563.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251231151979/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX940602.1,"PX940602.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GKISBBBI32434/2026, complete genome",Coronaviridae,29838,data/raw/coronaviridae.fasta
MW591993.2,"MW591993.2 Canine coronavirus isolate CCoV-HuPn-2018, complete genome",Coronaviridae,29088,data/raw/coronaviridae.fasta
PX931309.1,"PX931309.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801753894/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931306.1,"PX931306.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801691417/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931296.1,"PX931296.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801579368/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931287.1,"PX931287.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801383159/2025, complete genome",Coronaviridae,29690,data/raw/coronaviridae.fasta
PX931285.1,"PX931285.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801365244/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931275.1,"PX931275.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801235943/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931269.1,"PX931269.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801204279/2025, complete genome",Coronaviridae,29755,data/raw/coronaviridae.fasta
PX931264.1,"PX931264.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801138944/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931261.1,"PX931261.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801126452/2025, complete genome",Coronaviridae,29692,data/raw/coronaviridae.fasta
PX931258.1,"PX931258.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801100467/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931257.1,"PX931257.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801088914/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931254.1,"PX931254.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801075814/2025, complete genome",Coronaviridae,29679,data/raw/coronaviridae.fasta
PX931251.1,"PX931251.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801025432/2025, complete genome",Coronaviridae,29674,data/raw/coronaviridae.fasta
PX931250.1,"PX931250.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801021500/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931245.1,"PX931245.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-250801002012/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931237.1,"PX931237.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010979960/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931235.1,"PX931235.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010942550/2025, complete genome",Coronaviridae,29760,data/raw/coronaviridae.fasta
PX931234.1,"PX931234.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010942510/2025, complete genome",Coronaviridae,29751,data/raw/coronaviridae.fasta
PX931232.1,"PX931232.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010832001/2025, complete genome",Coronaviridae,29692,data/raw/coronaviridae.fasta
PX931226.1,"PX931226.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010718892/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931225.1,"PX931225.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010672911/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931222.1,"PX931222.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010614740/2025, complete genome",Coronaviridae,29761,data/raw/coronaviridae.fasta
PX931215.1,"PX931215.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010516789/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931209.1,"PX931209.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010464005/2025, complete genome",Coronaviridae,29684,data/raw/coronaviridae.fasta
PX931207.1,"PX931207.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010382391/2025, complete genome",Coronaviridae,29760,data/raw/coronaviridae.fasta
PX931195.1,"PX931195.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010217362/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931191.1,"PX931191.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251010155692/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931175.1,"PX931175.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251017470746/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931171.1,"PX931171.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251017118474/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931164.1,"PX931164.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251024753233/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931137.1,"PX931137.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251031635576/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
PX931124.1,"PX931124.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251031086911/2025, complete genome",Coronaviridae,29690,data/raw/coronaviridae.fasta
PX931113.1,"PX931113.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251114969327/2025, complete genome",Coronaviridae,29702,data/raw/coronaviridae.fasta
PX931110.1,"PX931110.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-251114863946/2025, complete genome",Coronaviridae,29694,data/raw/coronaviridae.fasta
